Region,Country,Item Type,Sales Channel,Order Priority,Order Date,Order ID,Ship Date,Units Sold,Unit Price,Unit Cost,Total Revenue,Total Cost,Total Profit
Middle East and North Africa,Libya,Cosmetics,Offline,M,10/18/14,686800706,10/31/14,8446,437.2,263.33,3692591.2,2224085.18,1468506.02
North America,Canada,Vegetables,Online,M,11/7/11,185941302,12/8/11,3018,154.06,90.93,464953.08,274426.74,190526.34
Middle East and North Africa,Libya,Baby Food,Offline,C,10/31/16,246222341,12/9/16,1517,255.28,159.42,387259.76,241840.14,145419.62
Asia,Japan,Cereal,Offline,C,4/10/10,161442649,5/12/10,3322,205.7,117.11,683335.4,389039.42,294295.98
Sub-Saharan Africa,Chad,Fruits,Offline,H,8/16/11,645713555,8/31/11,9845,9.33,6.92,91853.85,68127.4,23726.45
Europe,Armenia,Cereal,Online,H,11/24/14,683458888,12/28/14,9528,205.7,117.11,1959909.6,1115824.08,844085.52
Sub-Saharan Africa,Eritrea,Cereal,Online,H,3/4/15,679414975,4/17/15,2844,205.7,117.11,585010.8,333060.84,251949.96
Europe,Montenegro,Clothes,Offline,M,5/17/12,208630645,6/28/12,7299,109.28,35.84,797634.72,261596.16,536038.56
Central America and the Caribbean,Jamaica,Vegetables,Online,H,1/29/15,266467225,3/7/15,2428,154.06,90.93,374057.68,220778.04,153279.64
Australia and Oceania,Fiji,Vegetables,Offline,H,12/24/13,118598544,1/19/14,4800,154.06,90.93,739488,436464,303024
Sub-Saharan Africa,Togo,Clothes,Online,M,12/29/15,451010930,1/19/16,3012,109.28,35.84,329151.36,107950.08,221201.28
Europe,Montenegro,Snacks,Offline,M,2/27/10,220003211,3/18/10,2694,152.58,97.44,411050.52,262503.36,148547.16
Europe,Greece,Household,Online,C,11/17/16,702186715,12/22/16,1508,668.27,502.54,1007751.16,757830.32,249920.84
Sub-Saharan Africa,Sudan,Cosmetics,Online,C,12/20/15,544485270,1/5/16,4146,437.2,263.33,1812631.2,1091766.18,720865.02
Asia,Maldives,Fruits,Offline,L,1/8/11,714135205,2/6/11,7332,9.33,6.92,68407.56,50737.44,17670.12
Europe,Montenegro,Clothes,Offline,H,6/28/10,448685348,7/22/10,4820,109.28,35.84,526729.6,172748.8,353980.8
Europe,Estonia,Office Supplies,Online,H,4/25/16,405997025,5/12/16,2397,651.21,524.96,1560950.37,1258329.12,302621.25
North America,Greenland,Beverages,Online,M,7/27/12,414244067,8/7/12,2880,47.45,31.79,136656,91555.2,45100.8
Sub-Saharan Africa,Cape Verde,Clothes,Online,C,9/8/14,821912801,10/3/14,1117,109.28,35.84,122065.76,40033.28,82032.48
