Item Type,Sales Channel,Order Priority,Order Priority,Order ID,Ship Date
Cosmetics,Offline,M,M,686800706,10/31/14
Vegetables,Online,M,M,185941302,12/8/11
Baby Food,Offline,C,C,246222341,12/9/16
Cereal,Offline,C,C,161442649,5/12/10
Fruits,Offline,H,H,645713555,8/31/11
Cereal,Online,H,H,683458888,12/28/14
Cereal,Online,H,H,679414975,4/17/15
Clothes,Offline,M,M,208630645,6/28/12
Vegetables,Online,H,H,266467225,3/7/15
Vegetables,Offline,H,H,118598544,1/19/14
Clothes,Online,M,M,451010930,1/19/16
Snacks,Offline,M,M,220003211,3/18/10
Household,Online,C,C,702186715,12/22/16
Cosmetics,Online,C,C,544485270,1/5/16
Fruits,Offline,L,L,714135205,2/6/11
Clothes,Offline,H,H,448685348,7/22/10
Office Supplies,Online,H,H,405997025,5/12/16
Beverages,Online,M,M,414244067,8/7/12
Clothes,Online,C,C,821912801,10/3/14
Household,Offline,L,L,247802054,9/8/12
Snacks,Online,C,C,531023156,10/15/12
Clothes,Online,L,L,880999934,9/16/10
Personal Care,Online,H,H,127468717,3/9/11
Clothes,Online,L,L,770478332,1/24/16
Cereal,Online,H,H,430390107,11/13/12
Beverages,Online,M,M,397877871,3/20/17
Beverages,Offline,M,M,683927953,11/4/14
Fruits,Offline,M,M,469839179,2/22/12
Meat,Offline,H,H,357222878,3/9/16
Personal Care,Online,C,C,118002879,1/7/16
Beverages,Offline,C,C,944415509,6/23/17
Office Supplies,Online,H,H,499009597,7/9/15
Fruits,Online,L,L,564646470,3/16/14
Baby Food,Offline,M,M,294499957,4/8/14
Beverages,Offline,L,L,262056386,10/24/10
Office Supplies,Online,M,M,211114585,5/14/10
Office Supplies,Offline,H,H,405785882,10/22/13
Vegetables,Offline,M,M,280494105,4/14/11
Baby Food,Online,L,L,689975583,8/12/16
Office Supplies,Online,L,L,759279143,2/18/11
Office Supplies,Offline,C,C,133766114,6/12/14
Beverages,Online,M,M,329110324,9/2/13
Meat,Online,L,L,681298100,11/20/11
Snacks,Offline,L,L,596628272,12/30/16
Office Supplies,Offline,L,L,901712167,4/17/15
Beverages,Online,M,M,693473613,4/21/13
Meat,Online,C,C,489148938,9/1/10
Household,Online,L,L,876286971,2/15/12
Personal Care,Offline,H,H,262749040,8/30/15
Meat,Online,H,H,726708972,1/26/17
Vegetables,Online,L,L,366653096,5/31/12
Vegetables,Online,M,M,951380240,12/20/10
Cosmetics,Online,M,M,270001733,1/1/15
Beverages,Online,C,C,681941401,7/28/16
Fruits,Online,L,L,566935575,6/7/16
Snacks,Offline,M,M,175033080,11/5/12
Office Supplies,Offline,L,L,276595246,3/15/12
Office Supplies,Online,M,M,812295901,2/13/11
Vegetables,Offline,C,C,443121373,6/19/14
Personal Care,Offline,H,H,600370490,1/25/17
Office Supplies,Online,L,L,535654580,7/29/14
Cosmetics,Offline,H,H,470897471,4/22/15
Beverages,Offline,L,L,248335492,4/4/13
Clothes,Offline,C,C,680517470,3/25/15
Personal Care,Online,M,M,400304734,7/29/13
Office Supplies,Offline,C,C,810871112,1/8/13
Cereal,Online,L,L,235702931,4/3/12
Office Supplies,Offline,C,C,668599021,5/12/14
Baby Food,Online,M,M,123670709,2/1/16
Office Supplies,Online,L,L,285341823,6/8/11
Fruits,Online,H,H,658348691,8/22/10
Baby Food,Offline,L,L,817740142,8/19/13
Beverages,Offline,H,H,858877503,11/6/13
Vegetables,Offline,M,M,947434604,2/19/17
Meat,Offline,H,H,869397771,4/17/15
Personal Care,Offline,L,L,481065833,5/8/12
Meat,Online,C,C,159050118,10/1/13
Office Supplies,Online,M,M,350274455,6/14/14
Cereal,Online,L,L,221975171,5/17/10
Office Supplies,Online,C,C,811701095,7/19/17
Cereal,Online,L,L,977313554,3/29/15
Snacks,Offline,L,L,546986377,2/10/10
Fruits,Offline,L,L,769205892,3/17/10
Clothes,Offline,M,M,262770926,2/8/13
Snacks,Online,M,M,866792809,3/18/17
Beverages,Offline,C,C,890695369,2/23/11
Cereal,Offline,M,M,964214932,3/31/14
Snacks,Online,C,C,887400329,8/17/13
Beverages,Offline,M,M,980612885,9/4/11
Clothes,Offline,M,M,734526431,8/2/16
Baby Food,Online,L,L,160127294,3/23/14
Clothes,Offline,L,L,238714301,9/13/10
Household,Online,M,M,671898782,2/6/13
Personal Care,Offline,H,H,331604564,11/17/10
Cereal,Online,M,M,410067975,11/20/16
Snacks,Offline,L,L,369837844,3/23/11
