Order ID,Region,Country
686800706,Middle East and North Africa,Libya
185941302,North America,Canada
246222341,Middle East and North Africa,Libya
161442649,Asia,Japan
645713555,Sub-Saharan Africa,Chad
683458888,Europe,Armenia
679414975,Sub-Saharan Africa,Eritrea
208630645,Europe,Montenegro
266467225,Central America and the Caribbean,Jamaica
118598544,Australia and Oceania,Fiji
451010930,Sub-Saharan Africa,Togo
220003211,Europe,Montenegro
702186715,Europe,Greece
544485270,Sub-Saharan Africa,Sudan
714135205,Asia,Maldives
448685348,Europe,Montenegro
405997025,Europe,Estonia
414244067,North America,Greenland
821912801,Sub-Saharan Africa,Cape Verde
247802054,Sub-Saharan Africa,Senegal
531023156,Australia and Oceania,Federated States of Micronesia
880999934,Europe,Bulgaria
127468717,Middle East and North Africa,Algeria
770478332,Asia,Mongolia
430390107,Central America and the Caribbean,Grenada
397877871,Central America and the Caribbean,Grenada
683927953,Sub-Saharan Africa,Senegal
469839179,North America,Greenland
357222878,Sub-Saharan Africa,Chad
118002879,Sub-Saharan Africa,Mauritius 
944415509,Middle East and North Africa,Morocco
499009597,Central America and the Caribbean,Honduras
564646470,Sub-Saharan Africa,Benin
294499957,Europe,Greece
262056386,Central America and the Caribbean,Jamaica
211114585,Sub-Saharan Africa,Equatorial Guinea
405785882,Sub-Saharan Africa,Swaziland
280494105,Central America and the Caribbean,Trinidad and Tobago
689975583,Europe,Sweden
759279143,Europe,Belarus
133766114,Sub-Saharan Africa,Guinea-Bissau
329110324,Asia,Mongolia
681298100,Middle East and North Africa,Turkey
596628272,Sub-Saharan Africa,Central African Republic
901712167,Sub-Saharan Africa,Equatorial Guinea
693473613,Asia,Laos
489148938,Europe,Armenia
876286971,Europe,Greece
262749040,Middle East and North Africa,Israel
726708972,Asia,Bhutan
366653096,Australia and Oceania,Vanuatu
951380240,Sub-Saharan Africa,Burundi
270001733,Europe,Ukraine
681941401,Europe,Croatia
566935575,Sub-Saharan Africa,Madagascar
175033080,Asia,Malaysia
276595246,Asia,Uzbekistan
812295901,Europe,Italy
443121373,Asia,Nepal
600370490,Australia and Oceania,Fiji
535654580,Europe,Portugal
470897471,Central America and the Caribbean,Panama
248335492,Europe,Belarus
680517470,Sub-Saharan Africa,Botswana
400304734,Sub-Saharan Africa,Tanzania
810871112,Europe,Romania
235702931,Sub-Saharan Africa,Mali
668599021,Sub-Saharan Africa,Central African Republic
123670709,Sub-Saharan Africa,Niger
285341823,Europe,Austria
658348691,Asia,India
817740142,Europe,Luxembourg
858877503,Sub-Saharan Africa,Cape Verde
947434604,Europe,Sweden
869397771,Europe,Iceland
481065833,Middle East and North Africa,Qatar
159050118,Sub-Saharan Africa,South Sudan
350274455,Europe,United Kingdom
221975171,Middle East and North Africa,Tunisia 
811701095,North America,United States of America
977313554,Sub-Saharan Africa,Liberia
546986377,Sub-Saharan Africa,Eritrea
769205892,Asia,South Korea
262770926,Sub-Saharan Africa,Kenya
866792809,Sub-Saharan Africa,Rwanda
890695369,Central America and the Caribbean,Cuba
964214932,Middle East and North Africa,Libya
887400329,Europe,Czech Republic
980612885,Europe,Montenegro
734526431,Europe,Montenegro
160127294,Asia,Philippines
238714301,Central America and the Caribbean,El Salvador
671898782,Australia and Oceania,Tonga
331604564,Sub-Saharan Africa,Democratic Republic of the Congo
410067975,Middle East and North Africa,Afghanistan
369837844,Australia and Oceania,Tuvalu
193775498,Sub-Saharan Africa,Sudan
835054767,Sub-Saharan Africa,Niger
167161977,Sub-Saharan Africa,Gabon
633895957,Australia and Oceania,East Timor
699368035,North America,United States of America
698002040,Middle East and North Africa,Jordan
584534299,Europe,Cyprus
384013640,Sub-Saharan Africa,Malawi
641801393,Europe,Iceland
173571383,Middle East and North Africa,Israel
115309941,Middle East and North Africa,United Arab Emirates
773315894,Asia,China
274200570,Sub-Saharan Africa,Kenya
414887797,Middle East and North Africa,Somalia
812613904,Australia and Oceania,Tonga
254927718,Asia,Bangladesh
749690568,Middle East and North Africa,Egypt
775076282,Sub-Saharan Africa,Eritrea
229571187,Sub-Saharan Africa,Swaziland
881974112,Asia,Vietnam
521396386,Australia and Oceania,Marshall Islands
607261836,Asia,Taiwan
419306790,Europe,Ireland
207580077,Sub-Saharan Africa,Rwanda
742443025,Europe,Sweden
164569461,Sub-Saharan Africa,Gabon
734945714,Sub-Saharan Africa,South Africa
284870612,Europe,United Kingdom
765955483,Europe,Albania
600124156,Asia,Malaysia
529612958,Sub-Saharan Africa,Ghana
466970717,Central America and the Caribbean,Cuba
845058763,Central America and the Caribbean,Saint Lucia
367050921,Europe,Romania
956433522,Europe,Portugal
107005393,Europe,Macedonia
332877862,Asia,China
618474757,Europe,Germany
468532407,Europe,Ireland
358099639,Europe,Poland
382537782,Sub-Saharan Africa,Namibia
707520663,Asia,Uzbekistan
219034612,Sub-Saharan Africa,Zimbabwe
573378455,Asia,Mongolia
347163522,Europe,Norway
887313640,Middle East and North Africa,Oman
461065137,Europe,Serbia
